fecha,tipo,categoria,concepto,importe
2025-08-29,gasto,Ocio,padel,13.95
2025-08-30,gasto,Otros,var del nautic  + classic,27.90
2025-08-31,gasto,Otros,fin de verano,12.20
2025-09-01,gasto,Otros,fet a ma + xarro,21.55
2025-09-03,gasto,Otros,playa nautic,15.95
2025-09-05,gasto,Otros,october fest,36.00
2025-09-06,gasto,Alimentación,pica pica nautic + solete,5.20
2025-09-07,gasto,Ocio,fiesta chicas nautc,59.10
2025-09-08,gasto,Otros,mon iberic,1.90
2025-09-11,gasto,Otros,salida por bcn,36.35
2025-09-13,gasto,Transporte,gasolina coche mama,20.00
2025-09-13,gasto,Ocio,fiesta despedida cocoa,40.27
2025-09-19,gasto,Otros,paki,4.50
2025-09-20,gasto,Transporte,gasolina moto,5.00
2025-09-21,gasto,Ocio,birra clara y patri,2.53
2025-09-23,gasto,Otros,pelu nel,12.00
2025-09-25,gasto,Otros,castro verde,4.00
2025-09-28,gasto,Otros,cirre oblikue,6.80
2025-09-28,gasto,Alimentación,cena fet a ma,15.45
2025-09-30,gasto,Ocio,favela vermut,4.10
2025-10-02,gasto,Alimentación,comida trabajo,6.82
2025-10-03,gasto,Alimentación,comida trabajo,4.00
2025-10-04,gasto,Otros,0oktoberfest+ classic,50.65
2025-10-08,gasto,Transporte,gasolina moto,7.60
2025-10-08,gasto,Salud,medicamentos,6.60
2025-10-11,gasto,Alimentación,cena navas paula,5.50
2025-10-12,gasto,Alimentación,cena+ kk,15.10
2025-10-15,gasto,Alimentación,cena kk,4.20
2025-10-15,gasto,Transporte,gasolina moto,9.60
2025-10-15,gasto,Otros,TABACO,7.00
2025-10-16,gasto,Otros,Polonia,113.00
2025-10-16,gasto,Alimentación,cena mc,7.75
2025-10-17,gasto,Alimentación,comidas,12.70
2025-10-19,gasto,Otros,fet a ma,12.55
2025-10-25,gasto,Otros,up torneo,33.80
2025-10-26,gasto,Alimentación,domingo kk cena,29.90
2025-10-27,gasto,Suscripciones,suscripcion chat gpt,21.68
2025-10-27,gasto,Ocio,padel ganera,9.50
2025-10-28,gasto,Alimentación,bocata feina,2.60
2025-10-30,gasto,Otros,pila reloj,6.00
2025-10-31,gasto,Ocio,fiesta halloeen,3.20
2025-11-01,gasto,Alimentación,almuerzo mas cena hall,20.90
2025-11-02,gasto,Alimentación,cena fet a ma,22.46
2025-11-07,gasto,Alimentación,cena de la uni,82.50
2025-11-08,gasto,Alimentación,cena beni dani+ fiesta,51.62
2025-11-09,gasto,Ocio,barbut,7.35
2025-11-23,gasto,Otros,POLONIA,132.16
2025-11-23,gasto,Alimentación,sopar domingo,4.30
2025-11-24,gasto,Transporte,gasolina moto,4.50
2025-11-27,gasto,Suscripciones,suscripcion chat gpt,21.79
2025-11-27,gasto,Otros,amigo invisible helloteca,15.15
2025-11-28,gasto,Alimentación,menu jan varal,16.00
2025-11-29,gasto,Alimentación,parking fiesta cena de empresa,25.00
2025-12-04,gasto,Transporte,gasolina moto,2.00
2025-12-07,gasto,Ocio,esquiada eyne,79.01
